,trdwk,mkt_rf,smb,hml,umd,rf
861,2011-03-18,-0.004615643,0.0101366209,-0.004820038,-0.004703675,0.000569
862,2011-03-25,0.0194159233,0.0017680038,0.0123707112,-0.003082593,0.000569
863,2011-04-01,-0.015820996,-0.005898564,0.0106628403,-0.00972554,0.000569
864,2011-04-08,0.0192995807,0.0040400893,0.0099894807,0.0004344622,0.000615
865,2011-04-15,-0.002902515,0.0045792511,0.0005590806,-0.031607261,0.000615
866,2011-04-22,-0.004777969,0.0118488448,0.002818706,-0.002464171,0.000615
867,2011-04-29,-0.043481839,-0.030309524,0.0006292875,-0.014822036,0.000615
868,2011-05-06,-0.014574734,0.0260875737,-0.010752477,-0.012899291,0.000615
869,2011-05-13,0.0030741785,0.0187916435,0.0044031538,0.0097650957,0.000615
870,2011-05-20,-0.00585148,-0.003502471,-0.003887516,0.0023392141,0.000615
871,2011-05-27,-0.061487304,-0.030222622,0.0064049564,-0.008478172,0.000615
872,2011-06-03,0.0158648273,-0.000917194,-0.016821246,0.0342052463,0.000615
873,2011-06-10,-0.00378844,0.0020121128,-0.000651612,-0.001659683,0.000615
874,2011-06-17,-0.02206441,-0.011884332,0.0089014397,0.0012530789,0.000615
875,2011-06-24,0.0374318519,0.0025076218,-0.002214449,0.0189695573,0.000615
876,2011-07-01,0.0160077415,0.0069791772,-0.011220235,0.0171257125,0.000615
877,2011-07-08,0.0215428882,0.0098698958,-0.016911368,-0.000376339,0.000662
878,2011-07-15,0.0142437243,0.0155356742,-0.025005588,0.0090016167,0.000662
879,2011-07-22,-0.017642297,-0.000286808,-0.008574435,-0.00134359,0.000662
