Trddt,Yield
2005/8/30,1.1098
2005/8/31,1.1023
2005/9/1,1.1195
2005/9/2,1.0752
2005/9/5,1.1569
2005/9/6,1.1256
2005/9/7,1.1186
2005/9/8,1.1575
2005/9/9,1.1567
2005/9/12,1.1599
2005/9/13,1.1629
2005/9/14,1.1689
2005/9/15,1.0918
2005/9/16,1.1986
2005/9/19,1.1622
2005/9/20,1.0111
2005/9/21,1.1016
2005/9/22,1.0919
2005/9/23,1.1502
2005/9/26,1.057
2005/9/27,1.0706
2005/9/28,1.0872
2005/9/29,1.44
2005/9/30,1.0751
2005/10/8,1.1069
2005/10/9,1.1145
2005/10/10,1.1674
2005/10/11,1.1215
2005/10/12,1.2059
2005/10/13,1.1779
2005/10/14,1.1197
2005/10/17,1.1952
2005/10/18,1.1892
2005/10/19,1.1633
2005/10/20,1.1724
2005/10/21,1.2749
2005/10/24,1.1814
2005/10/25,1.3002
2005/10/26,1.2995
2005/10/27,1.2895
2005/10/28,1.232
2005/10/31,1.1885
2005/11/1,1.2174
2005/11/2,1.2746
2005/11/3,1.2561
2005/11/4,1.2273
2005/11/7,1.2324
2005/11/8,1.4414
2005/11/9,1.3736
2005/11/10,1.3878
2005/11/11,1.2755
2005/11/14,1.4384
2005/11/15,1.5995
2005/11/16,1.2712
2005/11/17,1.3066
2005/11/18,1.3783
2005/11/21,1.3211
2005/11/22,1.6413
2005/11/23,1.3571
2005/11/24,1.5347
2005/11/25,1.486
2005/11/28,1.4547
2005/11/29,1.6738
2005/11/30,1.5577
2005/12/1,1.6089
2005/12/2,1.6751
2005/12/5,1.743
2005/12/6,1.7346
2005/12/7,1.7538
2005/12/8,1.6625
2005/12/9,1.654
2005/12/12,1.7189
2005/12/13,1.6939
2005/12/14,1.6604
2005/12/15,1.6272
2005/12/16,1.5337
2005/12/19,1.6234
2005/12/20,1.5638
2005/12/21,1.9743
2005/12/22,1.3951
2005/12/23,1.6422
2005/12/26,1.54
2005/12/27,1.4691
2005/12/28,1.4901
2005/12/29,1.5469
2005/12/30,1.6562
2005/12/31,1.581
2006/1/4,1.462
2006/1/5,1.5157
2006/1/6,1.4556
2006/1/9,1.4482
2006/1/10,1.4402
2006/1/11,1.3842
2006/1/12,1.4125
2006/1/13,1.3208
2006/1/16,1.5065
2006/1/17,1.4926
2006/1/18,1.4008
2006/1/19,1.4098
2006/1/20,1.4188
2006/1/23,1.3693
2006/1/24,1.5128
2006/1/25,1.4721
2006/1/26,1.4696
2006/1/27,1.4686
2006/1/28,1.4683
2006/2/5,1.4671
2006/2/6,1.3752
2006/2/7,1.3588
2006/2/8,1.5099
2006/2/9,1.582
2006/2/10,1.5188
2006/2/13,1.6527
2006/2/14,1.6248
2006/2/15,1.3176
2006/2/16,1.5901
2006/2/17,1.445
2006/2/20,1.4812
2006/2/21,1.3437
2006/2/22,1.4802
2006/2/23,1.587
2006/2/24,1.6265
2006/2/27,1.7032
2006/2/28,1.5306
2006/3/1,1.4
2006/3/2,1.41
2006/3/3,1.4
2006/3/6,1.44
2006/3/7,1.4
2006/3/8,1.38
2006/3/9,1.38
2006/3/10,1.39
2006/3/13,1.4
2006/3/14,1.41
2006/3/15,1.43
2006/3/16,1.44
2006/3/17,1.42
2006/3/20,1.44
2006/3/21,1.43
2006/3/22,1.45
2006/3/23,1.42
2006/3/24,1.4
2006/3/27,1.39
2006/3/28,1.37
2006/3/29,1.36
2006/3/30,1.37
2006/3/31,1.36
2006/4/3,1.35
2006/4/4,1.36
2006/4/5,1.37
2006/4/6,1.365
2006/4/7,1.35
2006/4/10,1.35
2006/4/11,1.37
2006/4/12,1.39
2006/4/13,1.39
2006/4/14,1.4
2006/4/17,1.43
2006/4/18,1.45
2006/4/19,1.46
2006/4/20,1.45
2006/4/21,1.47
2006/4/24,1.49
2006/4/25,1.49
2006/4/26,1.48
2006/4/27,1.45
2006/4/28,1.42
2006/4/29,1.41
2006/4/30,1.43
2006/5/8,1.42
2006/5/9,1.41
2006/5/10,1.39
2006/5/11,1.415
2006/5/12,1.43
2006/5/15,1.47
2006/5/16,1.46
2006/5/17,1.44
2006/5/18,1.44
2006/5/19,1.43
2006/5/22,1.44
2006/5/23,1.45
2006/5/24,1.446
2006/5/25,1.44
2006/5/26,1.435
2006/5/29,1.44
2006/5/30,1.435
2006/5/31,1.44
2006/6/1,1.45
2006/6/2,1.475
2006/6/5,1.485
2006/6/6,1.49
2006/6/7,1.55
2006/6/8,1.552
2006/6/9,1.57
2006/6/12,1.57
2006/6/13,1.48
2006/6/14,1.5
2006/6/15,1.52
2006/6/16,1.51
2006/6/19,1.53
2006/6/20,1.55
2006/6/21,1.57
2006/6/22,1.58
2006/6/23,1.575
2006/6/26,1.565
2006/6/27,1.58
2006/6/28,1.56
2006/6/29,1.6
2006/6/30,1.61
2006/7/3,1.65
2006/7/4,1.68
2006/7/5,1.72
2006/7/6,1.71
2006/7/7,1.7
